listingId,title,bid,bidder_count,date_closed,units,price_per_unit,image_url,sku,grade,manifest_models,capacity,manifest_colors,manifest_part_numbers,model,normalized_capacity,full_model
190082,"Apple Cell Phones - iPhone 12 Mini, 64GB - 50 Units - Grade B+(T) - AT034367","$8,252",6 bidders,"Apr 2, 2024 9:59:31 AM PDT",50.0,165.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1613.jpg,AT034367,Grade B+(T),IPH 12M,64GB,"black, blue, purple, red, green, white","U009D, A009D, A889C, E888C, A886C, S885C, A888C, A885C, A887C, D009D, E885C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
190601,"Apple Cell Phones - iPhone 12 Mini, 64GB - 75 Units - Grade B+(T) - AT034639","$11,905",6 bidders,"Apr 9, 2024 10:19:02 AM PDT",75.0,158.73,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1618.jpg,AT034639,Grade B+(T),IPH 12M,64GB,"black, blue, purple, red, green, white","E886C, A009D, U889C, S886C, A889C, E888C, A886C, D885C, S887C, S889C, A888C, A885C, A887C, D009D, E885C, S888C, J885C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
190693,Apple Cell Phones - iPhone 12 Mini - 50 Units - Grade A+(T) - AT034678,"$10,451",3 bidders,"Apr 9, 2024 10:33:31 AM PDT",50.0,209.02,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1619.jpg,AT034678,Grade A+(T),IPH 12M,"64GB, 128GB","black, blue, purple, red, green, white","A886C, J890C, A885C, J885C, T885C, A892C, A889C, A887C, D009D, A009D, A010D, A891C, J899C, A890C, S888C, A894C, T890C, A888C, A893C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
191422,"Apple Cell Phones - iPhone 12 Mini, 64GB - 75 Units - Grade B+(T) - AT034888","$12,425",5 bidders,"Apr 16, 2024 10:22:49 AM PDT",75.0,165.67,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1625.jpg,AT034888,Grade B+(T),IPH 12M,64GB,"black, blue, purple, red, green, white","E889C, E886C, A009D, A889C, E888C, A886C, A885C, A888C, A887C, D009D, J888C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
191450,"Apple Cell Phones - iPhone 12 Mini, 64GB - 25 Units - Grade A+(T) - AT035043","$4,576",5 bidders,"Apr 16, 2024 10:47:51 AM PDT",25.0,183.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1626.jpg,AT035043,Grade A+(T),IPH 12M,64GB,"black, blue, purple, red, green, white","A009D, A889C, A886C, A885C, A888C, A887C, J886C, S888C, U886C, T885C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
199400,Apple Cell Phones - iPhone 12 Mini - 60 Units - Grade AA+(T) - AT038300,"$14,551",6 bidders,"Jul 9, 2024 10:15:41 AM PDT",60.0,242.52,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1693.jpg,AT038300,Grade AA+(T),IPH 12M,"64GB, 256GB, 128GB","black, blue, purple, red, green, white","S011D, A886C, J890C, A885C, A897C, T885C, A892C, S889C, S895C, A887C, T895C, A009D, A891C, A890C, E885C, T890C, A895C, A011D, A888C, S009D, A893C, S890C, J895C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
199430,"Apple Cell Phones - iPhone 12 Mini, 64GB - 75 Units - Grade B+(T) - AT038287","$14,050",6 bidders,"Jul 9, 2024 9:50:21 AM PDT",75.0,187.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1693.jpg,AT038287,Grade B+(T),IPH 12M,64GB,"black, blue, purple, red, white","J887C, A009D, D885C, A886C, S885C, U888C, A885C, A888C, A887C, J888C, S888C, J885C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
198656,"Apple Cell Phones - iPhone 12 Mini, 64GB - 51 Units - Grade B+(T) - CT0063032A","$8,573",4 bidders,"Jun 27, 2024 10:03:51 AM PDT",51.0,168.1,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1686.jpg,CT0063032A,Grade B+(T),IPH 12M,64GB,"PUR, BLK, RED, BLU, GRN, WHT","A009D, A889C, S885C, S009D, A885C, A888C, A887C, J888C, J886C, J885C, U886C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
205568,Apple Cell Phones - iPhone 12 Mini - 61 Units - Grade B+(T) - CT0066905A,"$9,550",7 bidders,"Sep 12, 2024 10:37:13 AM PDT",61.0,156.56,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1745.jpg,CT0066905A,Grade B+(T),IPH 12M,"64GB, 128GB","PUR, BLK, RED, BLU, GRN, WHT","A886C, J890C, A885C, J892C, J888C, J885C, J889C, A892C, E891C, E888C, J009D, A009D, J010D, J891C, A891C, A890C, E885C, S891C, U890C, S885C, A888C, A893C, J893C, S890C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
205682,Apple Cell Phones - iPhone 12 Mini - 22 Units - Grade A+(T) - CT0067008A,"$4,026",6 bidders,"Sep 12, 2024 10:05:17 AM PDT",22.0,183.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1746.jpg,CT0067008A,Grade A+(T),IPH 12M,"64GB, 256GB, 128GB","PUR, BLK, BLU, GRN, WHT","J889C, A009D, E009D, S886C, J890C, A891C, J009D, J893C, J885C, J895C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
206581,Apple Cell Phones - iPhone 12 Mini - 50 Units - Grade B+(T) - AT041211,"$9,123",6 bidders,"Sep 24, 2024 10:27:52 AM PDT",50.0,182.46,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1751.jpg,AT041211,Grade B+(T),IPH 12M,"64GB, 128GB","black, blue, purple, green, white","A009D, S886C, A889C, E888C, A886C, A010D, A891C, J899C, A888C, A885C, E890C, A890C, S885C, A893C, A894C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
213468,"Apple Cell Phones - iPhone 12 Mini, 64GB - 50 Units - Grade B+(T) - AT044238","$7,450",7 bidders,"Dec 3, 2024 11:25:26 AM PDT",50.0,149.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1802.jpg,AT044238,Grade B+(T),IPH 12M,64GB,"black, blue, purple, red, green, white","A009D, S889C, S886C, A889C, D885C, A886C, E888C, S885C, S009D, A888C, A885C, A887C, D009D, S887C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
214187,Apple Cell Phones - iPhone 12 Mini - 57 Units - Grade B+(T) - CT0071552A,"$8,350",8 bidders,"Dec 12, 2024 10:51:45 AM PDT",57.0,146.49,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1808.jpg,CT0071552A,Grade B+(T),IPH 12M,"64GB, 256GB, 128GB","PUR, BLK, RED, BLU, GRN, WHT","S010D, J890C, A885C, E893C, J885C, J889C, A892C, E886C, A889C, E888C, A887C, A009D, J891C, S886C, A010D, A890C, A894C, A895C, S887C, A011D, A888C, A893C, J886C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
213726,Apple Cell Phones - iPhone 12 Mini - 24 Units - Grade B+(T) - CT0071291A,"$3,450",8 bidders,"Dec 5, 2024 10:36:36 AM PDT",24.0,143.75,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1804.jpg,CT0071291A,Grade B+(T),IPH 12M,"64GB, 256GB, 128GB","PUR, BLK, BLU, GRN, WHT","J889C, A895C, A009D, A886C, J890C, S885C, A885C, A888C, A890C, A893C, J886C, E893C, J888C, S893C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
220604,Apple Cell Phones - iPhone 12 Mini - 48 Units - Grade B(T) - CT0074654A,"$5,725",6 bidders,"Feb 20, 2025 12:30:06 PM PDT",48.0,119.27,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1853.jpg,CT0074654A,Grade B(T),IPH 12M,"64GB, 256GB, 128GB","PUR, BLK, RED, BLU, GRN, WHT","J890C, A885C, S894C, J885C, J889C, S889C, A889C, E888C, A887C, J896C, A009D, J010D, J891C, A010D, A890C, A894C, S888C, S885C, S009D, A888C, A893C, J886C, S890C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
220626,Apple Cell Phones - iPhone 12 Mini - 15 Units - Grade A+(T) - CT0074791A,"$2,525",4 bidders,"Feb 20, 2025 10:00:34 AM PDT",15.0,168.33,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1853.jpg,CT0074791A,Grade A+(T),IPH 12M,"64GB, 256GB, 128GB","BLU, PUR, WHT, BLK","J010D, E888C, A886C, A891C, J890C, A888C, S885C, A885C, A893C, J009D, J895C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
228772,"Apple Cell Phones - iPhone 12 Mini, 64GB - 50 Units - Grade B+(T) - AT051791","$6,375",6 bidders,"May 20, 2025 10:19:56 AM PDT",50.0,127.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1902.jpg,AT051791,Grade B+(T),IPH 12M,64GB,"black, blue, purple, green, white","A009D, E009D, A889C, A886C, U885C, S885C, U888C, A888C, A885C, D009D",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
227896,Apple Cell Phones - iPhone 12 Mini - 34 Units - Grade B+(T) - AT051495,"$4,923",6 bidders,"May 6, 2025 10:17:05 AM PDT",34.0,144.79,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12mini_1896.jpg,AT051495,Grade B+(T),IPH 12M,"64GB, 128GB","black, blue, purple, red, white","U890C, A892C, A009D, D885C, A886C, A010D, S009D, A888C, A885C, A890C, D009D, A893C, S891C, S890C",iPhone 12 Mini,64GB,iPhone 12 Mini 64GB
